...1,openalex_id,journal_id,journal_name,doi,publication_year,oa_urls,pdf_download_status,pdf_local_path,tei_process_status,tei_local_path,journal_short,journal_long,osf_links,git_links,osf_links_raw,git_links_raw,has_osf,has_git,all_osf_links,all_git_links,has_any_link,all_osf_links_clean,all_git_links_clean,second_trial_osf,second_trial_git,second_trial_any_link
11152,W4397001948,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050547,2024,"{""pdf_links"": [""https://durham-repository.worktribe.com/file/2480497/1/Published%20Journal%20Article"", ""https://www.mdpi.com/2227-7102/14/5/547/pdf?version=1715959997""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/3e74b28d3f3a730ace6e4630a344a1e46f7260eddaee449afbf8383a9f7cd7d5.pdf,DONE,3e74b28d3f3a730ace6e4630a344a1e46f7260eddaee449afbf8383a9f7cd7d5.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11153,W4397022584,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050544,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/544/pdf?version=1715937153""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/4f637f3654f13ecae5db2a425953da823db282a2c735749d483c4115c2bc8fce.pdf,DONE,4f637f3654f13ecae5db2a425953da823db282a2c735749d483c4115c2bc8fce.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11154,W4397003933,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050546,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/546/pdf?version=1715949387""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/15544951940729f2fac9627e6f8c12bc9b5dd7bac7cf409ce9ae88da528253e1.pdf,DONE,15544951940729f2fac9627e6f8c12bc9b5dd7bac7cf409ce9ae88da528253e1.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11155,W4397022247,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050542,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/542/pdf?version=1715915949""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/02759b2ced286811ab18f1bae24b91494a47f263e6720b911c4fe14f6ed1d921.pdf,DONE,02759b2ced286811ab18f1bae24b91494a47f263e6720b911c4fe14f6ed1d921.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11156,W4397022687,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050543,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/543/pdf?version=1715936345""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/7771ef5e4db564e147ef5cb17c173f8e6804b08513bae3c2ae8a3503938f3159.pdf,DONE,7771ef5e4db564e147ef5cb17c173f8e6804b08513bae3c2ae8a3503938f3159.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11157,W4396953543,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050541,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/541/pdf?version=1715867593""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/d5c8de3b769b3587fb72eddb509c1c7b7f0ff4f4443486c822e0014b425b0a7e.pdf,DONE,d5c8de3b769b3587fb72eddb509c1c7b7f0ff4f4443486c822e0014b425b0a7e.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11158,W4396956502,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050537,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/537/pdf?version=1715845241""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/a5777ff964178c8bda5478fd64b55695303ca403aeba726230c5f03d02f7dd6a.pdf,DONE,a5777ff964178c8bda5478fd64b55695303ca403aeba726230c5f03d02f7dd6a.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11159,W4396953093,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050540,2024,"{""pdf_links"": [""https://repository.tudelft.nl/file/File_b6fc3e05-ab6e-4a0f-b521-79c386bb9f3e"", ""https://www.mdpi.com/2227-7102/14/5/540/pdf?version=1715865508""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/12e39f2c5936e36b0f34c418d4f3da3c27aea932d65324c041245b52650c377e.pdf,DONE,12e39f2c5936e36b0f34c418d4f3da3c27aea932d65324c041245b52650c377e.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11160,W4396956715,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050538,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/538/pdf?version=1715850144""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/23a635c432e222fe8a5a9fff3d225c95223061726f76f2e2813ad8ae82659fa9.pdf,DONE,23a635c432e222fe8a5a9fff3d225c95223061726f76f2e2813ad8ae82659fa9.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11161,W4396956518,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050539,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/539/pdf?version=1715852978""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/d4ef11d08a45d4eedbf82da1899501ca13ce61ace0e2b96698917c6a64cb531d.pdf,DONE,d4ef11d08a45d4eedbf82da1899501ca13ce61ace0e2b96698917c6a64cb531d.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
